gen,elapsed_sec,evals_total,best_fitness,mean_fitness
0,0.0007631778717041016,200,-60.46982322596662,-166.17531782142206
1,0.004992008209228516,400,-59.47329250514013,-137.2444732451646
2,0.006715059280395508,600,-58.117740137585606,-112.62142701339573
3,0.008563995361328125,800,-55.53407828378155,-90.34265862067721
4,0.010396242141723633,1000,-54.191543281297754,-69.66012738799887
5,0.01221609115600586,1200,-51.94238768320633,-59.65636718706888
6,0.014053106307983398,1400,-48.1985927827522,-57.14105382407557
7,0.015871047973632812,1600,-43.30196407062495,-55.05960585538207
8,0.017673254013061523,1800,-45.2108032857776,-53.31932987415441
9,0.019531965255737305,2000,-42.80775247828448,-50.920373257991926
10,0.021344900131225586,2200,-40.43597587150122,-47.926860813671226
11,0.02315807342529297,2400,-37.78449494500481,-45.32643538708116
12,0.0249631404876709,2600,-36.30868182384355,-43.14289197395363
13,0.026789188385009766,2800,-34.04528941491168,-41.2899910077435
14,0.02862095832824707,3000,-32.44368422038988,-39.41332725326236
15,0.03043508529663086,3200,-29.89124639231612,-37.62515889791073
16,0.03224802017211914,3400,-29.485721604522887,-35.52286533133482
17,0.03406524658203125,3600,-27.193646940436143,-33.52234026775313
18,0.0358881950378418,3800,-24.355696520517498,-32.05341792749719
19,0.037714242935180664,4000,-22.81788539636882,-29.90192448123579
20,0.03951716423034668,4200,-21.997479222381344,-28.361420365181193
21,0.041326045989990234,4400,-20.603877172046772,-26.54783874356589
22,0.043131113052368164,4600,-19.704915641855106,-25.024126524211425
23,0.0449371337890625,4800,-16.2941408068618,-23.581069843856767
24,0.046746015548706055,5000,-16.03234675423825,-22.396475045529215
25,0.04857015609741211,5200,-14.295422027411194,-20.520411306699362
26,0.050382137298583984,5400,-12.325891391481543,-18.73599742457798
27,0.052191972732543945,5600,-11.942919309462088,-17.366130368249753
28,0.05399608612060547,5800,-11.000187253852229,-16.16195639978365
29,0.05580902099609375,6000,-9.869182940851182,-14.90485939322732
30,0.05761408805847168,6200,-7.850967909590988,-13.987205216618017
31,0.05941915512084961,6400,-7.690322127475791,-13.027811541646706
32,0.06123709678649902,6600,-7.568105995277298,-12.059656932632953
33,0.0630500316619873,6800,-7.017172822435177,-10.91257665660215
34,0.06485295295715332,7000,-6.715051179042553,-10.015709002093994
35,0.06665420532226562,7200,-5.902812891531787,-9.374158380576068
36,0.06846308708190918,7400,-5.070415393501121,-8.568101107709994
37,0.07027196884155273,7600,-5.334743256353756,-8.005274522915565
38,0.07208013534545898,7800,-4.323372941231969,-7.3779658652327536
39,0.07387804985046387,8000,-3.997467682219205,-6.8170899727727985
40,0.07568812370300293,8200,-3.509779476048639,-6.0423263301055545
41,0.07748603820800781,8400,-3.4416117582967547,-5.68442581799292
42,0.07929110527038574,8600,-3.0704957004491393,-5.3173740671712775
43,0.08109521865844727,8800,-3.0756771933499465,-4.8251966133918165
44,0.08289504051208496,9000,-2.4470132143431904,-4.501453850096755
45,0.08469009399414062,9200,-2.2862409145805738,-4.226395086148901
46,0.08649325370788574,9400,-1.6710118044050648,-3.935831644865766
47,0.08829116821289062,9600,-1.4489760558321112,-3.6431368476217876
48,0.09009099006652832,9800,-1.2361878979194143,-3.5063541521246537
49,0.0918881893157959,10000,-1.5535207856491968,-3.1280286642092214
50,0.09368896484375,10200,-1.1022101080463091,-2.9184103198259455
51,0.09549307823181152,10400,-1.1735539849528611,-2.7667938181614784
52,0.09728097915649414,10600,-1.1135413099497353,-2.6214940523443047
53,0.09908294677734375,10800,-0.9580082371229289,-2.5514308376829367
54,0.10087704658508301,11000,-1.043740580119633,-2.369155444381241
55,0.10266709327697754,11200,-0.6464404372758599,-2.208069156130846
56,0.1044621467590332,11400,-0.8746079632970939,-2.1104245652957747
57,0.10626101493835449,11600,-0.9500568717885453,-2.106943445831571
58,0.1080629825592041,11800,-0.775280193714249,-2.0335325357385106
59,0.1098630428314209,12000,-0.7046385164567205,-1.9968804449141526
60,0.11167216300964355,12200,-0.7478539688453157,-2.025352373022534
61,0.11346602439880371,12400,-0.7474321327920717,-2.0099596862998563
62,0.11526799201965332,12600,-0.6263360517822707,-1.9772010967039113
63,0.11706304550170898,12800,-0.8264695936884837,-1.9561085799337314
64,0.11884808540344238,13000,-0.8117047637324815,-1.9812129807286225
65,0.12064504623413086,13200,-0.6352987793436417,-2.028663765215189
66,0.12244606018066406,13400,-0.4800349102961392,-2.0463793056927084
67,0.12423491477966309,13600,-0.556745543470507,-2.0691157828133617
68,0.12603116035461426,13800,-0.5651430986837062,-2.015014459050581
69,0.12782812118530273,14000,-0.510554482955902,-1.9510041051907794
70,0.12961602210998535,14200,-0.7554583197666668,-1.879928988629136
71,0.13141226768493652,14400,-0.6471825262758242,-1.8798560122174666
72,0.13355517387390137,14600,-0.5743275184699677,-1.8841704886965556
73,0.13594532012939453,14800,-0.8644475155792726,-1.8609143829362949
74,0.13842201232910156,15000,-0.7226502940787665,-1.8693598501405952
75,0.14008402824401855,15200,-0.7030521702357337,-1.966286952063399
76,0.141740083694458,15400,-0.8360504867393365,-2.019473885471436
77,0.14341306686401367,15600,-0.5238988726350383,-1.93840318451342
78,0.14519500732421875,15800,-0.5670159742507009,-1.8982020892004092
79,0.14698004722595215,16000,-0.762388935824106,-1.9351163887177134
80,0.14874792098999023,16200,-0.7007176175615135,-1.8943931087925008
81,0.15050601959228516,16400,-0.5484476306855475,-1.867217158689022
82,0.15225815773010254,16600,-0.5907774340356263,-1.8666643360527087
83,0.15402698516845703,16800,-0.5715337561674436,-1.8608963638066256
84,0.1557910442352295,17000,-0.6197521825713916,-1.876988707045249
85,0.15755009651184082,17200,-0.8255027526362081,-1.8334170972363462
86,0.15931320190429688,17400,-0.7390220568645542,-1.8289616385721388
87,0.1610701084136963,17600,-0.7100766472219845,-1.867281028645021
88,0.16282320022583008,17800,-0.6840721626013229,-1.791816707419156
89,0.16457700729370117,18000,-0.7888875525158745,-1.7374217431327699
90,0.1663341522216797,18200,-0.826019653318978,-1.783437872784428
91,0.1680901050567627,18400,-0.8305081978219597,-1.794591985864335
92,0.1698460578918457,18600,-0.6099628395058819,-1.7595729140023648
93,0.17160916328430176,18800,-0.796066720370519,-1.766632061690915
94,0.1733560562133789,19000,-0.5812317274542871,-1.738200626024684
95,0.1751110553741455,19200,-0.5547224916108278,-1.8126020999588563
96,0.17687106132507324,19400,-0.5889609993482519,-1.8737237418916397
97,0.1786201000213623,19600,-0.6789312477050623,-1.787119606403743
98,0.18037819862365723,19800,-0.6283155136488805,-1.8207556952211268
99,0.18213391304016113,20000,-0.6099940198501876,-1.8168218260305673
100,0.18389391899108887,20200,-0.6431179964728713,-1.739520663826247
101,0.1856520175933838,20400,-0.7194716353741395,-1.7688291324713563
102,0.18741130828857422,20600,-0.6716935703244371,-1.8380306521811565
103,0.18916821479797363,20800,-0.6827473091596831,-1.8537709104958566
104,0.19092607498168945,21000,-0.7061666432603484,-1.8693043652774446
105,0.19267916679382324,21200,-0.8913253275164985,-1.8916677025172317
106,0.19443011283874512,21400,-0.7628199184038418,-1.8804626459579543
107,0.19618916511535645,21600,-0.7274006834547442,-1.9149793616291952
108,0.19794702529907227,21800,-0.6472467691717108,-1.9666358061514426
109,0.19970417022705078,22000,-0.4231666536340011,-1.897895058389326
