gen,elapsed_sec,evals_total,engine,metrics
0,0.0008456707000732422,200,"{'gen': 1, 'best_fitness': -60.46982322596662, 'mean_fitness': -166.17531782142206, 'pop_size': 200}",{}
1,0.00439763069152832,400,"{'gen': 2, 'best_fitness': -59.47329250514013, 'mean_fitness': -137.2444732451646, 'pop_size': 200}",{}
2,0.006137847900390625,600,"{'gen': 3, 'best_fitness': -58.117740137585606, 'mean_fitness': -112.62142701339573, 'pop_size': 200}",{}
3,0.007853031158447266,800,"{'gen': 4, 'best_fitness': -55.53407828378155, 'mean_fitness': -90.34265862067721, 'pop_size': 200}",{}
4,0.00957179069519043,1000,"{'gen': 5, 'best_fitness': -54.191543281297754, 'mean_fitness': -69.66012738799887, 'pop_size': 200}",{}
5,0.011294841766357422,1200,"{'gen': 6, 'best_fitness': -51.94238768320633, 'mean_fitness': -59.65636718706888, 'pop_size': 200}",{}
6,0.013061761856079102,1400,"{'gen': 7, 'best_fitness': -48.1985927827522, 'mean_fitness': -57.14105382407557, 'pop_size': 200}",{}
7,0.014812946319580078,1600,"{'gen': 8, 'best_fitness': -43.30196407062495, 'mean_fitness': -55.05960585538207, 'pop_size': 200}",{}
8,0.016527891159057617,1800,"{'gen': 9, 'best_fitness': -45.2108032857776, 'mean_fitness': -53.31932987415441, 'pop_size': 200}",{}
9,0.01836085319519043,2000,"{'gen': 10, 'best_fitness': -42.80775247828448, 'mean_fitness': -50.920373257991926, 'pop_size': 200}",{}
10,0.020175695419311523,2200,"{'gen': 11, 'best_fitness': -40.43597587150122, 'mean_fitness': -47.926860813671226, 'pop_size': 200}",{}
11,0.02194380760192871,2400,"{'gen': 12, 'best_fitness': -37.78449494500481, 'mean_fitness': -45.32643538708116, 'pop_size': 200}",{}
12,0.023782730102539062,2600,"{'gen': 13, 'best_fitness': -36.30868182384355, 'mean_fitness': -43.14289197395363, 'pop_size': 200}",{}
13,0.02560281753540039,2800,"{'gen': 14, 'best_fitness': -34.04528941491168, 'mean_fitness': -41.2899910077435, 'pop_size': 200}",{}
14,0.027437686920166016,3000,"{'gen': 15, 'best_fitness': -32.44368422038988, 'mean_fitness': -39.41332725326236, 'pop_size': 200}",{}
15,0.029175758361816406,3200,"{'gen': 16, 'best_fitness': -29.89124639231612, 'mean_fitness': -37.62515889791073, 'pop_size': 200}",{}
16,0.031001806259155273,3400,"{'gen': 17, 'best_fitness': -29.485721604522887, 'mean_fitness': -35.52286533133482, 'pop_size': 200}",{}
17,0.0328519344329834,3600,"{'gen': 18, 'best_fitness': -27.193646940436143, 'mean_fitness': -33.52234026775313, 'pop_size': 200}",{}
18,0.03464174270629883,3800,"{'gen': 19, 'best_fitness': -24.355696520517498, 'mean_fitness': -32.05341792749719, 'pop_size': 200}",{}
19,0.03638291358947754,4000,"{'gen': 20, 'best_fitness': -22.81788539636882, 'mean_fitness': -29.90192448123579, 'pop_size': 200}",{}
20,0.03825092315673828,4200,"{'gen': 21, 'best_fitness': -21.997479222381344, 'mean_fitness': -28.361420365181193, 'pop_size': 200}",{}
21,0.040097951889038086,4400,"{'gen': 22, 'best_fitness': -20.603877172046772, 'mean_fitness': -26.54783874356589, 'pop_size': 200}",{}
22,0.041922807693481445,4600,"{'gen': 23, 'best_fitness': -19.704915641855106, 'mean_fitness': -25.024126524211425, 'pop_size': 200}",{}
23,0.04370689392089844,4800,"{'gen': 24, 'best_fitness': -16.2941408068618, 'mean_fitness': -23.581069843856767, 'pop_size': 200}",{}
24,0.04543781280517578,5000,"{'gen': 25, 'best_fitness': -16.03234675423825, 'mean_fitness': -22.396475045529215, 'pop_size': 200}",{}
25,0.04726290702819824,5200,"{'gen': 26, 'best_fitness': -14.295422027411194, 'mean_fitness': -20.520411306699362, 'pop_size': 200}",{}
26,0.04907584190368652,5400,"{'gen': 27, 'best_fitness': -12.325891391481543, 'mean_fitness': -18.73599742457798, 'pop_size': 200}",{}
27,0.050888776779174805,5600,"{'gen': 28, 'best_fitness': -11.942919309462088, 'mean_fitness': -17.366130368249753, 'pop_size': 200}",{}
28,0.05271291732788086,5800,"{'gen': 29, 'best_fitness': -11.000187253852229, 'mean_fitness': -16.16195639978365, 'pop_size': 200}",{}
29,0.05446600914001465,6000,"{'gen': 30, 'best_fitness': -9.869182940851182, 'mean_fitness': -14.90485939322732, 'pop_size': 200}",{}
30,0.05618476867675781,6200,"{'gen': 31, 'best_fitness': -7.850967909590988, 'mean_fitness': -13.987205216618017, 'pop_size': 200}",{}
31,0.058000802993774414,6400,"{'gen': 32, 'best_fitness': -7.690322127475791, 'mean_fitness': -13.027811541646706, 'pop_size': 200}",{}
32,0.05981588363647461,6600,"{'gen': 33, 'best_fitness': -7.568105995277298, 'mean_fitness': -12.059656932632953, 'pop_size': 200}",{}
33,0.06165575981140137,6800,"{'gen': 34, 'best_fitness': -7.017172822435177, 'mean_fitness': -10.91257665660215, 'pop_size': 200}",{}
34,0.06347966194152832,7000,"{'gen': 35, 'best_fitness': -6.715051179042553, 'mean_fitness': -10.015709002093994, 'pop_size': 200}",{}
35,0.0652918815612793,7200,"{'gen': 36, 'best_fitness': -5.902812891531787, 'mean_fitness': -9.374158380576068, 'pop_size': 200}",{}
36,0.0670316219329834,7400,"{'gen': 37, 'best_fitness': -5.070415393501121, 'mean_fitness': -8.568101107709994, 'pop_size': 200}",{}
37,0.06878089904785156,7600,"{'gen': 38, 'best_fitness': -5.334743256353756, 'mean_fitness': -8.005274522915565, 'pop_size': 200}",{}
38,0.07059979438781738,7800,"{'gen': 39, 'best_fitness': -4.323372941231969, 'mean_fitness': -7.3779658652327536, 'pop_size': 200}",{}
39,0.07241964340209961,8000,"{'gen': 40, 'best_fitness': -3.997467682219205, 'mean_fitness': -6.8170899727727985, 'pop_size': 200}",{}
40,0.07425189018249512,8200,"{'gen': 41, 'best_fitness': -3.509779476048639, 'mean_fitness': -6.0423263301055545, 'pop_size': 200}",{}
41,0.07599687576293945,8400,"{'gen': 42, 'best_fitness': -3.4416117582967547, 'mean_fitness': -5.68442581799292, 'pop_size': 200}",{}
42,0.0777428150177002,8600,"{'gen': 43, 'best_fitness': -3.0704957004491393, 'mean_fitness': -5.3173740671712775, 'pop_size': 200}",{}
43,0.07956290245056152,8800,"{'gen': 44, 'best_fitness': -3.0756771933499465, 'mean_fitness': -4.8251966133918165, 'pop_size': 200}",{}
44,0.08138489723205566,9000,"{'gen': 45, 'best_fitness': -2.4470132143431904, 'mean_fitness': -4.501453850096755, 'pop_size': 200}",{}
45,0.08320879936218262,9200,"{'gen': 46, 'best_fitness': -2.2862409145805738, 'mean_fitness': -4.226395086148901, 'pop_size': 200}",{}
46,0.08503484725952148,9400,"{'gen': 47, 'best_fitness': -1.6710118044050648, 'mean_fitness': -3.935831644865766, 'pop_size': 200}",{}
